Elapsed Time (s),Speed (kph)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,2.9
46,5.7
47,8.6
48,11.4
49,14.3
50,17.1
51,20
52,20
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,20
61,20
62,20
63,20
64,20
65,20
66,20
67,17.1
68,14.3
69,11.4
70,8.6
71,5.7
72,2.9
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,2.9
91,5.7
92,8.6
93,11.4
94,14.3
95,17.1
96,20
97,22.9
98,25.7
99,28.6
100,31.4
101,34.3
102,37.1
103,40
104,40
105,40
106,40
107,40
108,40
109,40
110,40
111,40
112,40
113,40
114,40
115,40
116,40
117,40
118,40
119,38
120,36
121,34
122,32
123,30
124,28
125,26
126,24
127,22
128,20
129,20
130,20
131,21.7
132,23.3
133,25
134,26.7
135,28.3
136,30
137,31.7
138,33.3
139,35
140,36.7
141,38.3
142,40
143,38
144,36
145,34
146,32
147,30
148,28
149,26
150,24
151,22
152,20
153,17.1
154,14.3
155,11.4
156,8.6
157,5.7
158,2.9
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,2.9
181,5.7
182,8.6
183,11.4
184,14.3
185,17.1
186,20
187,20
188,20
189,20
190,20
191,20
192,20
193,20
194,20
195,20
196,20
197,20
198,20
199,20
200,20
201,20
202,17.1
203,14.3
204,11.4
205,8.6
206,5.7
207,2.9
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,2.9
226,5.7
227,8.6
228,11.4
229,14.3
230,17.1
231,20
232,22.9
233,25.7
234,28.6
235,31.4
236,34.3
237,37.1
238,40
239,40
240,40
241,40
242,40
243,40
244,40
245,40
246,40
247,40
248,40
249,40
250,40
251,40
252,40
253,40
254,38
255,36
256,34
257,32
258,30
259,28
260,26
261,24
262,22
263,20
264,20
265,20
266,21.7
267,23.3
268,25
269,26.7
270,28.3
271,30
272,31.7
273,33.3
274,35
275,36.7
276,38.3
277,40
278,38
279,36
280,34
281,32
282,30
283,28
284,26
285,24
286,22
287,20
288,17.1
289,14.3
290,11.4
291,8.6
292,5.7
293,2.9
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,2.9
316,5.7
317,8.6
318,11.4
319,14.3
320,17.1
321,20
322,20
323,20
324,20
325,20
326,20
327,20
328,20
329,20
330,20
331,20
332,20
333,20
334,20
335,20
336,20
337,17.1
338,14.3
339,11.4
340,8.6
341,5.7
342,2.9
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,2.9
361,5.7
362,8.6
363,11.4
364,14.3
365,17.1
366,20
367,22.9
368,25.7
369,28.6
370,31.4
371,34.3
372,37.1
373,40
374,40
375,40
376,40
377,40
378,40
379,40
380,40
381,40
382,40
383,40
384,40
385,40
386,40
387,40
388,40
389,38
390,36
391,34
392,32
393,30
394,28
395,26
396,24
397,22
398,20
399,20
400,20
401,21.7
402,23.3
403,25
404,26.7
405,28.3
406,30
407,31.7
408,33.3
409,35
410,36.7
411,38.3
412,40
413,38
414,36
415,34
416,32
417,30
418,28
419,26
420,24
421,22
422,20
423,17.1
424,14.3
425,11.4
426,8.6
427,5.7
428,2.9
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
