Elapsed Time (s),Speed (kph)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.9
9,3.2
10,7.3
11,12.4
12,17.9
13,23.5
14,29.1
15,34.3
16,38.6
17,41.6
18,43.9
19,45.9
20,48.1
21,50.3
22,52.6
23,54.8
24,55.8
25,55.2
26,53.8
27,52.7
28,52.8
29,55
30,58.5
31,62.3
32,65.7
33,68
34,69.1
35,69.5
36,69.9
37,70.6
38,71.3
39,72.2
40,72.8
41,73.2
42,73.4
43,73.8
44,74.8
45,76.7
46,79.1
47,81.1
48,82.1
49,81.7
50,80.3
51,78.8
52,77.3
53,75.9
54,75
55,74.7
56,74.6
57,74.7
58,74.6
59,74.4
60,74.1
61,73.9
62,74.1
63,75.1
64,76.8
65,78.7
66,80.4
67,81.7
68,82.6
69,83.5
70,84.4
71,85.1
72,85.7
73,86.3
74,87
75,87.9
76,88.8
77,89.7
78,90.3
79,90.6
80,90.6
81,90.5
82,90.4
83,90.1
84,89.7
85,89.3
86,88.9
87,88.8
88,88.9
89,89.1
90,89.3
91,89.4
92,89.4
93,89.2
94,88.9
95,88.5
96,88
97,87.5
98,87.2
99,87.1
100,87.2
101,87.3
102,87.4
103,87.5
104,87.4
105,87.1
106,86.8
107,86.4
108,85.9
109,85.2
110,84
111,82.2
112,80.3
113,78.6
114,77.2
115,75.9
116,73.8
117,70.4
118,65.7
119,60.5
120,55.9
121,53
122,51.6
123,50.9
124,50.5
125,50.2
126,50.2
127,50.6
128,51.2
129,51.8
130,52.5
131,53.4
132,54.9
133,57
134,59.4
135,61.9
136,64.3
137,66.4
138,68.1
139,69.6
140,70.7
141,71.4
142,71.8
143,72.8
144,75
145,77.8
146,80.7
147,83.3
148,85.4
149,87.3
150,89.1
151,90.6
152,91.9
153,93.2
154,94.5
155,96
156,97.5
157,98.9
158,99.8
159,99
160,96.6
161,93.7
162,91.3
163,90.4
164,90.6
165,91.1
166,90.9
167,89
168,85.6
169,81.6
170,77.6
171,73.6
172,69.7
173,66
174,62.7
175,60
176,58
177,56.4
178,54.8
179,53.2
180,51.7
181,50.2
182,48.7
183,47.2
184,47.1
185,47
186,46.9
187,46.6
188,46.3
189,46.1
190,46.1
191,46.4
192,47.1
